tenor_years,zero_semi_pct,zero_annual_pct,par_semi_pct,discount_factor,fbil_zero_semi_pct,gap_bp
38.5,8.397449,8.573742,7.68997,0.04213,8.4,-0.255117
38.75,8.398916,8.57527,7.689665,0.04125,8.4,-0.108437
39.0,8.399942,8.576339,7.691431,0.040395,8.4,-0.005813
39.25,8.400513,8.576935,7.690987,0.039564,8.4,0.051333
39.5,8.400616,8.577042,7.692612,0.038757,8.39,1.061578
39.75,8.400235,8.576645,7.692031,0.037973,8.39,1.023499
40.0,8.399357,8.57573,7.693515,0.037213,8.39,0.935674
40.25,8.397971,8.574286,7.692797,0.036474,8.38,1.797131
40.5,8.396087,8.572323,7.694144,0.035758,8.38,1.608698
40.75,8.393717,8.569853,7.693298,0.035063,8.38,1.371656
41.0,8.390873,8.56689,7.694521,0.034388,8.37,2.087282
41.25,8.387569,8.563447,7.693559,0.033733,8.37,1.756857
41.5,8.383817,8.559538,7.694668,0.033096,8.36,2.38166
41.75,8.37963,8.555175,7.6936,0.032478,8.36,1.962969
42.0,8.375021,8.550373,7.694606,0.031878,8.35,2.502064
42.25,8.370002,8.545145,7.693444,0.031294,8.35,2.000225
42.5,8.364587,8.539503,7.694357,0.030727,8.34,2.45873
42.75,8.358789,8.533462,7.693108,0.030175,8.34,1.878858
43.0,8.352619,8.527034,7.693938,0.029639,8.33,2.261889
43.25,8.346091,8.520234,7.692613,0.029118,8.33,1.609103
43.5,8.339218,8.513074,7.693367,0.028611,8.32,1.921777
43.75,8.332012,8.505568,7.691973,0.028117,8.31,2.201192
44.0,8.324486,8.497729,7.69266,0.027637,8.31,1.448627
44.25,8.316654,8.48957,7.691205,0.027169,8.3,1.665361
44.5,8.308527,8.481106,7.691833,0.026714,8.29,1.852672
44.75,8.300118,8.472348,7.690324,0.026271,8.28,2.011841
45.0,8.291441,8.463311,7.690899,0.025839,8.28,1.144147
45.25,8.282509,8.454009,7.689344,0.025418,8.27,1.250868
45.5,8.273333,8.444453,7.689873,0.025007,8.26,1.333285
45.75,8.263927,8.434658,7.688277,0.024607,8.25,1.392675
46.0,8.254303,8.424637,7.688766,0.024217,8.25,0.430319
46.25,8.244475,8.414403,7.687136,0.023836,8.24,0.447495
46.5,8.234455,8.40397,7.687591,0.023464,8.23,0.445484
46.75,8.224256,8.393352,7.685932,0.023101,8.22,0.425563
