tenor_years,zero_semi_annual_pct,zero_annualised_pct,par_semi_annual_pct,discount_factor,fbil_zero_semi_annual_pct,fbil_par_semi_annual_pct,zero_diff_bp,par_diff_bp
34.5,8.325671,8.498963,7.668333,0.059954,8.34,7.67,-1.432864,-0.166688
34.75,8.332253,8.505819,7.669107,0.058615,8.35,7.67,-1.774747,-0.089304
35.0,8.338621,8.512452,7.671984,0.057308,8.35,7.67,-1.137926,0.198438
35.25,8.344762,8.518849,7.67263,0.056033,8.36,7.67,-1.523823,0.262953
35.5,8.350661,8.524995,7.675373,0.054789,8.37,7.68,-1.933862,-0.462713
35.75,8.356305,8.530875,7.675887,0.053576,8.37,7.68,-1.369464,-0.411348
36.0,8.361679,8.536474,7.678493,0.052393,8.38,7.68,-1.832052,-0.150656
36.25,8.36677,8.541777,7.678873,0.05124,8.38,7.68,-1.323049,-0.112661
36.5,8.371561,8.546769,7.681342,0.050117,8.39,7.68,-1.843877,0.134209
36.75,8.37604,8.551436,7.681587,0.049022,8.39,7.68,-1.395958,0.158666
37.0,8.380193,8.555762,7.683916,0.047956,8.39,7.68,-0.980715,0.391584
37.25,8.384004,8.559733,7.684024,0.046918,8.4,7.68,-1.599571,0.402382
37.5,8.387461,8.563334,7.686213,0.045907,8.4,7.69,-1.253948,-0.37874
37.75,8.390547,8.566551,7.686183,0.044924,8.4,7.69,-0.945269,-0.381683
38.0,8.39325,8.569367,7.688231,0.043967,8.4,7.69,-0.674956,-0.176898
38.25,8.395556,8.571769,7.688064,0.043036,8.4,7.69,-0.444431,-0.193626
38.5,8.397449,8.573742,7.68997,0.04213,8.4,7.69,-0.255117,-0.002955
38.75,8.398916,8.57527,7.689665,0.04125,8.4,7.69,-0.108437,-0.033487
39.0,8.399942,8.576339,7.691431,0.040395,8.4,7.69,-0.005813,0.143071
39.25,8.400513,8.576935,7.690987,0.039564,8.4,7.69,0.051333,0.098739
39.5,8.400616,8.577042,7.692612,0.038757,8.39,7.69,1.061578,0.261205
