tenor_years,fbil_zero_semi,exact_zero_semi,exact_diff_bp,smooth_zero_semi,smooth_diff_bp,fbil_par_semi,exact_par_semi,smooth_par_semi,exact_par_diff_bp,smooth_par_diff_bp
32.25,8.27,8.39221,12.2212,8.25927,-1.07302,7.65,7.66773,7.64777,1.77339,-0.22272
32.5,8.28,8.41686,13.68552,8.26708,-1.29183,7.65,7.67432,7.65125,2.43211,0.12534
32.75,8.29,8.4408,15.07994,8.27484,-1.51625,7.65,7.67852,7.6525,2.85189,0.2497
33.0,8.29,8.46384,17.38375,8.28251,-0.74913,7.66,7.68462,7.65587,2.46238,-0.41262
33.25,8.3,8.48576,18.57624,8.29007,-0.9931,7.66,7.68829,7.65701,2.82859,-0.29899
33.5,8.31,8.50637,19.63667,8.2975,-1.24984,7.66,7.6938,7.66027,3.38004,0.02693
33.75,8.32,8.52544,20.54432,8.30479,-1.52077,7.66,7.69683,7.66129,3.68271,0.12894
34.0,8.33,8.54278,21.27848,8.31193,-1.8073,7.67,7.70166,7.66443,3.16588,-0.55745
34.25,8.33,8.55818,22.81842,8.31889,-1.11086,7.67,7.70396,7.66532,3.39644,-0.46754
34.5,8.34,8.57143,23.14342,8.32567,-1.43286,7.67,7.70803,7.66833,3.80333,-0.16669
34.75,8.35,8.58233,23.23276,8.33225,-1.77475,7.67,7.70954,7.66911,3.95428,-0.0893
35.0,8.35,8.59066,24.06571,8.33862,-1.13793,7.67,7.71278,7.67198,4.27777,0.19844
35.25,8.36,8.59622,23.62156,8.34476,-1.52382,7.67,7.71342,7.67263,4.34227,0.26295
35.5,8.37,8.5988,22.87958,8.35066,-1.93386,7.68,7.71576,7.67537,3.57568,-0.46271
35.75,8.37,8.59819,22.81905,8.35631,-1.36946,7.68,7.71547,7.67589,3.54718,-0.41135
36.0,8.38,8.59419,21.41924,8.36168,-1.83205,7.68,7.71684,7.67849,3.68386,-0.15066
36.25,8.38,8.58659,20.65945,8.36677,-1.32305,7.68,7.71556,7.67887,3.55557,-0.11266
36.5,8.39,8.57519,18.51893,8.37156,-1.84388,7.68,7.71588,7.68134,3.58843,0.13421
36.75,8.39,8.55977,16.97698,8.37604,-1.39596,7.68,7.71353,7.68159,3.35285,0.15867
37.0,8.39,8.54013,15.01287,8.38019,-0.98072,7.68,7.71274,7.68392,3.27375,0.39158
37.25,8.4,8.51606,11.60588,8.384,-1.59957,7.68,7.70922,7.68402,2.92208,0.40238
37.5,8.4,8.48735,8.73528,8.38746,-1.25395,7.69,7.70721,7.68621,1.72126,-0.37874
